index,name,gender
0,آبدار,f
1,عبيده,f
2,عبيره,f
3,آبش,f
4,ادب,f
5,ايده,f
6,عافية,f
7,عائلة,f
8,انا,f
9,آئرہ,f
10,اقفى,f
11,آلا,f
12,اليمه,f
13,اعمال,f
14,اميله,f
15,اميره,f
16,آنی فاطمه خاتون,f
17,انيسه,f
18,عقيله,f
19,عارفه,f
20,اسیمہ,f
21, اسماء,f
22,عتیق,f
23,اطرح,f
24,آبلوچ,f
25,ابننا,f
26,ابار,f
27,اباشش,f
28,باسه,f
29,ابداه,f
30,بضيقن,f
31,ابیھا,f
32,عبیرہ,f
33,ابھج,f
34,ابیا,f
35,عابدہ,f
36,عابرہ,f
37,ابلا,f
38,ابلاج,f
39,بقره,f
40,ابرج,f
41,أبرزهمنا,f
42,عبرود,f
43,اداب,f
44,عدارا,f
45,ادیبہ,f
46,عدیلہ,f
47,عدینہ,f
48,آدلہ,f
49,ادیبہ,f
50,عادلہ,f
51,ادیرا,f
52,عدلہ,f
53,عدرا,f
54,اعیرہ,f
55,عینا,f
56, عائشہ,f
57,عفاف,f
58,آفرین,f
59,عافرہ,f
60,عافية,f
61,عفیفہ,f
62,عافیہ,f
63,افكار,f
64,افلق,f
65,افراع,f
66,افرحہ,f
67,افریشم ,f
68,افروزہ,f
69,أفصى,f
70,افسر,f
71,افشاں,f
72,افسون,f
73,افتان,f
74,افزہ,f
75,افزوں,f
76,أغلى,f
77,اغغ,f
78,احد,f
79,أحذية,f
80,اہلالہ,f
81,أحلم,f
82,احمرین,f
83,آہو,f
84,احواد,f
85,عاہدہ,f
86,اعدہ,f
87,عائلہ,f
88,عائشہ,f
89,أغار,f
90,آئلہ,f
91,ایمن,f
92,اعینہ,f
93,نلسبا,f
94,آئینور,f
95, آئرہ,f
96,عائشہ,f
97,عائشہ,f
98,عائشہ,f
99,عائزہ,f
100,عجب,f
101,اجلہ,f
102,جراده,f
103,اکبری,f
104,اخلاقی,f
105,اختر,f
106,اخزاری,f
107,عكا,f
108,أقفى,f
109,عکیلا,f
110,اکیلا,f
111,اکنان,f
112,اعلہ,f
113,عالم,f
114,عالم افروز,f
115,الامیہ,f
116,علیہ,f
117,علسیہ,f
118,عالیمہ,f
119,علینہ,f
120,أليز,f
121,العشا,f
122,الغاعیہ,f
123,الحینہ,f
124,اعلیہ,f
125,علی بابا,f
126,الیہت,f
127,عالم,f
128,الينا,f
129,علیشہ,f
130,علشبہ,f
131,عالیہ,f
132,الاية,f
133,الجا,f
134,عليه,f
